OBJECTID,NAME,COMMPLAN,SHARED,COALIT,HORZ_VERT,MAPLABEL,ID,Shape_Length,Shape_Area
1,CATHEDRAL PARK, , ,NPNS,HORZ,Cathedral Park,31,11434.2547770159,5424297.81227215
2,UNIVERSITY PARK, , ,NPNS,HORZ,University Park,88,11950.8598267972,6981456.79064214
3,PIEDMONT,ALBINA, ,NPNS,VERT,Piedmont,70,10849.3273923702,6079530.00871899
4,WOODLAWN,ALBINA, ,NECN,HORZ,Woodlawn,93,8078.36099439546,3870553.61385225
5,CULLY ASSOCIATION OF NEIGHBORS, , ,CNN,HORZ,Cully Association of Neighbors,23,18179.392090202,16580624.669253
6,ARBOR LODGE,ALBINA, ,NPNS,HORZ,Arbor Lodge,2,9466.41150440441,4586999.92869874
7,OVERLOOK,ALBINA, ,NPNS,HORZ,Overlook,66,18919.7142321563,16822517.2637657
8,CONCORDIA,ALBINA, ,NECN,HORZ,Concordia,19,11314.6669032604,7009777.74115829
9,PARKROSE, , ,EPCO,HORZ,Parkrose,67,15199.5423073746,10616590.3893435
10,SUMNER ASSOCIATION OF NEIGHBORS, , ,CNN,HORZ,Sumner Association of Neighbors,84,9778.75663949973,4179036.21394792
11,HUMBOLDT,ALBINA, ,NECN,VERT,Humboldt,44,6880.05673473788,2904874.30369846
12,KING,ALBINA, ,NECN,VERT,King,48,8903.47302069419,3340861.2196102
13,VERNON,ALBINA, ,NECN,VERT,Vernon,89,5469.12636052399,1571314.82309968
14,NORTHWEST HEIGHTS, , ,NWNW,HORZ,Northwest Heights,63,18858.845916545,7240624.58726932
15,ROSE CITY PARK, , ,CNN,VERT,Rose City Park,74,9985.76927803335,6319333.90256754
16,PARKROSE HEIGHTS ASSOCIATION OF NEIGHBORS, , ,EPCO,HORZ,Parkrose Heights Association of Neighbors,68,8951.87725422067,5140902.31384971
17,RUSSELL, , ,EPCO,HORZ,Russell,76,8549.66825551128,4216286.32894929
18,MC UNCLAIMED #5, , ,UNCLAIMED,NA,MC Unclaimed #5,0,1742.26174820253,122803.234527204
19,PEARL DISTRICT, , ,NWNW,VERT,Pearl District,69,6505.41772633755,2350872.68073463
20,WOODLAND PARK, , ,EPCO,VERT,Woodland Park,92,2276.12493191221,253250.807348852
21,MONTAVILLA,OUTER SE, ,SEUL,VERT,Montavilla,58,15469.0850848816,11492736.2019196
22,LAURELHURST, , ,SEUL,VERT,Laurelhurst,49,7666.31864723217,3524160.61207521
23,KERNS, , ,SEUL,HORZ,Kerns,47,12968.4559317362,4361259.99128567
