Year,Neighborhood,Average Price,Median Price,Cost per Sq. Ft. (avg),Days on market (avg),Homes sold,Condo sales (%),1-year Median Price Change (%),5-year Median Price Change (%),Distressed Property Sales (%),Year built (avg)
2015,Alameda,"626,939","592,000",217,33,94,0,12,10,1,1929
2015,Arbor Lodge,"352,697","345,000",178,23,147,1,19,25,3,1942
2015,Ardenwald/Johnson Creek,"315,853","324,000",157,40,17,0,47,28,12,1959
2015,Argay,"265,434","263,000",116,44,79,4,6,-9,9,1967
2015,Arlington Heights,"836,302","790,413",243,64,14,0,19,14,0,1959
2015,Arnold Creek,"467,639","437,500",186,57,48,0,1,1,6,1983
2015,Ashcreek,"367,079","345,000",167,36,103,3,6,3,4,1970
2015,Beaumont-Wilshire,"550,895","512,000",211,35,105,0,14,30,1,1933
2015,Boise,"416,614","407,000",201,23,43,7,7,28,0,1951
2015,Brentwood/Darlington,"221,741","209,900",148,45,217,2,13,-1,8,1962
2015,Bridgeton,"269,235","253,000",154,55,23,17,15,5,0,1989
2015,Bridlemile,"540,722","486,250",191,41,82,0,0,4,5,1969
2015,Brooklyn,"367,018","362,500",177,26,52,0,10,27,2,1947
2015,Buckman,"451,172","415,000",194,24,63,22,11,28,0,1924
2015,Cathedral Park,"257,836","260,000",159,33,74,22,3,24,15,1957
2015,Centennial,"182,760","181,450",127,62,298,4,11,-9,20,1967
2015,Collins View,"430,891","359,000",192,52,35,0,6,1,6,1970
2015,Concordia,"382,108","380,000",187,30,192,5,6,27,2,1943
2015,Creston-Kenilworth,"333,469","335,000",174,28,116,1,18,22,2,1942
2015,Crestwood,"314,347","310,000",170,57,25,0,7,1,4,1971
2015,Cully,"255,542","240,000",163,43,176,6,5,3,8,1956
2015,Downtown,"351,819","324,500",331,59,151,99,0,-5,3,1979
2015,East Columbia,"223,131","190,000",141,58,17,0,-7,-14,24,1974
2015,Eastmoreland,"632,683","612,000",209,38,102,0,13,14,3,1936
2015,Eliot,"379,427","372,450",187,36,56,25,8,18,7,1950
2015,Far Southwest,"343,405","317,000",160,74,34,0,-9,-8,3,1983
2015,Forest Park,"968,215","751,000",219,99,30,0,11,-6,3,1991
2015,Foster-Powell,"264,982","255,000",164,47,143,0,10,16,8,1954
2015,Glenfair,"208,202","199,500",117,58,16,0,13,-7,19,1980
2015,Goose Hollow,"301,081","263,750",278,63,92,93,3,-12,4,1975
2015,Grant Park,"624,512","573,242",221,23,55,0,17,5,0,1923
2015,Hayden Island,"218,636","172,000",165,137,79,61,-15,-23,6,1982
2015,Hayhurst,"371,268","360,000",185,39,99,3,9,6,2,1962
2015,Hazelwood,"194,614","192,000",125,51,207,11,4,-7,14,1966
