Year,Neighborhood,Average Price,Median Price,Cost per Sq. Ft. (avg),Days on market (avg),Homes sold,Condo sales (%),1-year Median Price Change (%),5-year Median Price Change (%),Distressed Property Sales (%),Year built (avg),,,,,,,,,,,
2016,Alameda,"$726,243","$685,000",$236,27,101,0,15.7,39.8,0,1931,,,,,,,,,,,
2016,Arbor Lodge,"$410,125","$393,100",$196,21,154,0.6,13.9,60.4,3.2,1951,,,,,,,,,,,
2016,Ardenwald/Johnson Creek,"$290,140","$295,975",$156,29,74,0,-8.6,0.3,8.1,1948,,,,,,,,,,,
2016,Argay,"$267,606","$265,300",$129,44,77,18.2,0.9,30.7,10.4,1969,,,,,,,,,,,
2016,Arlington Heights,"$778,832","$629,875",$261,51,14,0,-20.3,-3.1,7.1,1961,,,,,,,,,,,
2016,Arnold Creek,"$550,496","$522,000",$184,48,62,0,19.3,30.7,1.6,1984,,,,,,,,,,,
2016,Ashcreek,"$395,927","$377,500",$180,33,136,0,9.4,46.6,2.2,1971,,,,,,,,,,,
2016,Beaumont-Wilshire,"$598,216","$550,000",$244,21,99,0,7.4,54.3,3,1943,,,,,,,,,,,
2016,Boise,"$470,539","$450,000",$237,18,47,4.3,10.6,64.8,0,1951,,,,,,,,,,,
2016,Brentwood/Darlington,"$244,671","$240,000",$187,28,280,2.9,14.3,81.8,7.9,1954,,,,,,,,,,,
2016,Bridgeton,"$268,991","$250,000",$179,116,35,17.1,-1.2,119.3,0,1986,,,,,,,,,,,
2016,Bridlemile,"$561,158","$517,600",$220,38,104,1,6.4,31,3.8,1968,,,,,,,,,,,
2016,Brooklyn,"$381,014","$374,750",$197,27,38,0,3.4,46.1,7.9,1939,,,,,,,,,,,
2016,Buckman,"$484,272","$475,000",$207,23,49,20.4,14.5,53.2,4.1,1923,,,,,,,,,,,
2016,Cathedral Park,"$310,559","$285,000",$186,21,96,19.8,9.6,54.1,5.2,1939,,,,,,,,,,,
2016,Centennial,"$217,095","$217,500",$142,40,351,6.3,19.9,63.7,12,1968,,,,,,,,,,,
2016,Collins View,"$456,463","$408,500",$201,33,44,0,13.8,70.9,2.3,1971,,,,,,,,,,,
2016,Concordia,"$421,942","$417,000",$212,18,213,4.2,9.7,55.6,2.8,1949,,,,,,,,,,,
2016,Creston-Kenilworth,"$379,154","$379,450",$198,23,138,8.7,13.3,72.5,3.6,1933,,,,,,,,,,,
2016,Crestwood,"$371,189","$343,240",$204,23,50,0,10.7,34.5,4,1974,,,,,,,,,,,
2016,Cully,"$304,667","$297,000",$192,36,191,4.2,23.8,57.1,5.8,1957,,,,,,,,,,,
2016,Downtown,"$412,126","$353,000",$396,47,164,99.4,8.8,25.8,3.7,1980,,,,,,,,,,,
2016,Dunthorpe,"$1,137,347","$1,192,500",$253,72,34,0,—,—,8.8,1962,,,,,,,,,,,
2016,East Columbia,"$290,723","$270,000",$156,42,41,0,42.1,58.8,7.3,1988,,,,,,,,,,,
2016,Eastmoreland,"$678,508","$664,979",$226,28,110,0,8.7,56.5,0.9,1940,,,,,,,,,,,
2016,Eliot,"$450,173","$456,000",$212,24,31,12.9,22.4,60.3,3.2,1888,,,,,,,,,,,
2016,Far Southwest,"$446,873","$421,450",$179,46,40,0,32.9,30.8,2.5,1975,,,,,,,,,,,
2016,Forest Park,"$787,807","$723,220",$227,63,61,0,-3.7,26.9,3.3,1982,,,,,,,,,,,
2016,Foster-Powell,"$283,860","$283,500",$175,31,154,0,11.2,62,8.4,1924,,,,,,,,,,,
2016,Glenfair,"$224,178","$221,500",$132,59,27,0,11,41.1,25.9,1968,,,,,,,,,,,
2016,Goose Hollow,"$395,665","$302,000",$322,39,119,93.3,14.5,51,4.2,1976,,,,,,,,,,,
2016,Grant Park,"$645,943","$599,450",$233,25,50,0,4.6,27.3,0,1926,,,,,,,,,,,
2016,Hayden Island,"$294,931","$240,000",$188,123,77,50.6,39.5,1.1,3.9,1977,,,,,,,,,,,
