Year,Neighborhood,Average home sale price ($),Median home sale price ($),Average cost per square foot ($),Days on market (avg.),Homes sold in 2016 (#),Condo sales (%),1-year median price change (2015-2016) (%),5-year median price change (2012-2016) (%),Distressed property sales (%),Year built (avg.),Adjusted population,"Adjusted population density (people per sq. mi., excluding parks and industrial tracts)",Median age,Median household income ($),Home ownership (%),Married (except separated) (%),Divorced (%),Widowed (%),Separated (%),Never Married (%),Population with bachelor degree as highest level of education (25 and older) (%),Population with graduate degree (25 and older) (%),Renters - median monthly housing expenses ($),People below federal poverty level (%),Unemployed (16 years and older) (%),English as only language (%),Percent of families with children under 18 years (%),Population in same house last year (%),Population in different county last year (%),Population in different state last year (%),Population moved from abroad last year (%),Aggravated assault,Arson,Burglary,Homicide,Larceny,Rape,Robbery,Vehicle thefts,Nonviolent crimes,Violent crimes,"Crimes per 1,000 residents",Parks and natural areas (Acres),Parks (% of neighborhood),Minutes by car to downtown (est.),Commute by public transit (%),Commute by bike (%),Commute by walking (%),Commute by biking and walking (%),Number of Max/streetcar lines,Number of TriMet bus lines,Number of transit lines (bus/MAX/streetcar),"Miles of bike routes (lanes, boulevards, multiuse paths)",Miles of bike routes (all) per square mile,Walk score
2017,ALAMEDA,"672,458","675,000",251,19,93,0,-2,34,1,1928,"5,536","9,277",41,"103,346",77.5,54.4,10.7,3.1,0.7,31.1,38.4,32.2,"1,452",7.2,5.2,94,51,87,0.5,4.1,0.8,X,X,X,X,X,X,X,X,X,X,X,0,0,14,8,13.2,3.6,16.8,0,3,3,0.7,1.2,62
2017,ARBOR LODGE,"438,535","430,000",222,20,123,2,9,60,4,1945,"6,909","7,961",36,"61,527",67,45.2,10.8,2.5,1.4,40,31.1,15.4,"1,213",14,6.2,85.3,48.5,85.6,2,3.8,0.2,X,X,X,X,X,X,X,X,X,X,X,10,2,13,18,10,3,13,1,4,5,6.3,7.2,73
2017,ARDENWALD-JOHNSON CREEK,"402,663","375,000",216,22,15,0,13,52,0,1958,"1,968","1,934",41,"85,156",80.5,61.1,11.3,4,1.1,22.5,28.3,26,"1,354",9.4,6.2,90.9,43.6,87.1,2.4,3.4,0.2,X,X,X,X,X,X,X,X,X,X,X,37,17,14,6.9,7,2.8,9.8,1,6,7,2.6,2.5,53
2017,ARGAY,"317,958","323,000",152,24,74,8,18,62,4,1968,"6,497","3,165",38,"44,116",42.5,31.3,19.8,4.5,6,38.4,10,4.7,832,30.9,12.1,74.4,50.8,63.8,10.7,4.5,1,X,X,X,X,X,X,X,X,X,X,X,59,5,18,7.4,0.2,16.6,16.7,0,5,5,5.9,2.9,47
2017,ARLINGTON HEIGHTS,"905,626","870,000",280,44,19,0,28,78,0,1966,"1,861","2,279",49,"111,803",73.5,56.3,10,6.1,0.3,27.4,44,39.8,975,3.8,2.1,88.8,31,83.1,1.7,6.5,1,X,X,X,X,X,X,X,X,X,X,X,329,63,12,6.9,5.7,7.9,13.5,2,4,6,1.3,1.6,29
2017,ARNOLD CREEK,"631,920","574,200",215,55,61,3,9,47,0,1983,"2,900","2,644",44,"117,117",90.7,59.9,10.5,3.8,0.7,25.1,35.8,30.9,"1,619",3.4,5.7,92.2,43.6,91.1,4.4,1.4,0.7,X,X,X,X,X,X,X,X,X,X,X,19,3,15,2.8,1.5,2.1,3.5,0,1,1,0.2,0.2,16
2017,ASHCREEK,"465,278","455,000",213,21,106,2,17,60,2,1978,"5,292","4,347",42,"87,196",80.5,53.1,13.2,4.4,1.5,27.9,31.1,27.4,"1,426",8.9,6.8,89.9,43,87.5,2.8,3.6,0.5,X,X,X,X,X,X,X,X,X,X,X,11,2,18,7.1,0.6,1.5,2.1,0,8,8,1.8,1.5,36
2017,BEAUMONT-WILSHIRE,"613,655","565,000",253,23,109,0,3,46,2,1939,"5,938","7,799",40,"94,530",83.8,53,10.8,3.9,1.7,30.6,35.4,30.3,"1,469",7.2,4.9,91.1,49.2,86.2,0.9,2.8,0.1,X,X,X,X,X,X,X,X,X,X,X,14,3,15,6.2,7.3,3.6,10.9,0,3,3,4.3,5.7,75
2017,BOISE,"514,829","499,000",246,20,35,3,10,60,0,1932,"4,233","9,895",34,"63,231",41.5,29.8,11,2.2,0.6,56.4,37.2,17.9,"1,107",18.6,5.9,89.2,48.5,74.4,2.2,7.3,1.7,X,X,X,X,X,X,X,X,X,X,X,5,2,11,12,19.3,4.7,24,1,6,7,2.2,5,90
2017,BRENTWOOD/ DARLINGTON,"289,899","285,000",202,28,351,2,16,97,9,1965,"13,064","7,455",36,"51,044",68.1,41.6,14.9,3.5,1.5,38.6,17.7,7.6,"1,079",19.7,12.2,72.3,53.5,83.6,3.9,2.8,0.1,X,X,X,X,X,X,X,X,X,X,X,48,4,19,11.4,3.9,0.7,4.5,0,4,4,6.1,3.5,54
2017,BRIDGETON,"293,195","269,450",182,36,22,14,7,43,0,1993,66,245,39,"58,731",72,50.8,14.4,3.7,3,28.1,14.3,8.7,"1,314",10.6,9.2,81.7,35.7,79.6,4.5,3.5,0,X,X,X,X,X,X,X,X,X,X,X,1,1,20,9.4,2.8,0.5,3.3,0,2,2,3.2,11.9,29
2017,BRIDLEMILE,"631,209","589,000",249,36,76,0,15,62,1,1969,"4,812","3,430",45,"92,711",71.9,57.8,12.7,5.2,2.1,22.2,33.3,42,972,9.5,8.1,87,47.6,86.7,3.8,1.8,1.3,X,X,X,X,X,X,X,X,X,X,X,32,4,15,3.9,2.4,2.9,5.3,0,6,6,2.3,1.7,38
