Year,Neighborhood,Average home sale price ($),Median home sale price ($),Average cost per square foot ($),Days on market (avg.),Homes sold in 2017 (#),Condo sales (%),1-year median price change (2016–2017) (%),5-year median price change (2013–2017) (%),Distressed property sales (%),Year built (avg.),Adjusted population,"Adjusted population density (people per sq. mi., excluding parks and industrial tracts)",Median age,Median household income ($),Home ownership (%),Married (except separated) (%),Divorced (%),Widowed (%),Separated (%),Never Married (%),Population with bachelor degree as highest level of education (25 and older) (%),Population with graduate degree (25 and older) (%),Renters - median monthly housing expenses ($),People below federal poverty level (%),Unemployed (16 years and older) (%),English as only language (%),Percent of households with children under 18 years (%),Population in same house last year (%),Population in different county last year (%),Population in different state last year (%),Population moved from abroad last year (%),Total Newcomers (%),Aggravated assault,Arson,Burglary,Homicide,Larceny,Rape,Robbery,Vehicle thefts,Nonviolent crimes,Violent crimes,"Crimes per 1,000 residents",Parks and natural areas (Acres),Parks (% of neighborhood),Minutes by car to downtown (est.),Commute by public transit (%),Commute by bike (%),Commute by walking (%),Commute by biking and walking (%),Number of Max/streetcar lines,Number of TriMet bus lines,Number of transit lines (bus/MAX/streetcar),"Miles of bike routes (lanes, boulevards, multiuse paths)",Miles of bike routes (all) per square mile,Walk score
2018,ALAMEDA,"709,588","685,000",257,23,82,0,1,29,1,1928,"5,622","9,421",41,"105,242",78.4,55,10.6,3.3,0.6,30.4,38.5,33.6,"1,496",6.9,5.1,92.9,36,86.4,0.4,4.2,0.8,5.4,10,0,20,0,61,2,0,31,112,12,22,0,0,13,8.6,12.2,3.3,15.5,0,3,3,1,1.24,65
2018,ARBOR LODGE,"460,602","453,500",240,31,126,2,5,56,0,1943,"7,115","8,199",36,"71,234",68,44.9,11,2.4,1.5,40.1,32.2,18.1,"1,317",8.9,5.3,87.4,30.2,84.8,1.6,4,0.2,5.8,60,3,38,0,311,4,8,59,408,75,68,10,2,15,15.8,12.4,3.7,16.1,1,4,5,6,7.18,72
2018,ARDENWALD-JOHNSON CREEK,"468,461","469,500",217,15,16,0,25,74,0,1965,"2,010","1,975",41,"88,349",79.9,59.7,11.4,4.4,1.4,23.4,28.8,25.3,"1,479",9.2,5.8,92,33.3,86.2,3.2,3.6,0.3,7.1,4,0,4,0,20,1,1,5,29,6,17,37,17,16,6.8,7.2,2.4,9.7,1,5,6,3,7.68,54
2018,ARGAY,"349,725","360,000",157,31,82,9,11,45,1,1967,"6,339","3,088",38,"47,028",46.7,31.4,17.6,4.2,5.6,41.3,10.7,4,889,25,8.6,75.3,34.4,62.8,13.8,4.5,0.8,19.2,75,33,68,0,322,5,4,137,527,117,102,59,5,20,10.8,0.4,13,13.4,0,5,5,6,2.85,45
2018,ARLINGTON HEIGHTS,"1,100,611","920,000",352,36,18,0,6,38,0,1961,"1,897","2,323",51,"107,676",76.9,59.6,10.7,5.9,0.6,23,43,39.9,"1,089",3.2,2.2,87.4,17.4,85,1.8,4.7,1.9,8.4,6,1,3,0,36,1,0,0,39,8,25,329,63,14,6.8,4.2,10.3,14.4,2,4,6,1,1.68,40
2018,ARNOLD CREEK,"612,076","587,500",224,49,58,2,2,38,5,1988,"2,811","2,562",44,"124,401",90,62.6,11.2,2,1.1,23.1,38.2,33.2,"1,738",3.2,3.5,91,33.9,89.9,5.4,1.8,0,7.2,1,0,6,1,13,0,0,0,19,2,7,19,3,18,4.2,1.6,1.9,3.4,0,1,1,0,0.21,17
2018,ASHCREEK,"476,197","443,000",219,29,98,1,-3,36,5,1975,"5,337","4,383",42,"93,686",81.7,56.1,13.6,3.3,0.8,26.5,31.8,30,"1,440",7.5,5.7,91.3,33.4,85.8,2.2,3.5,0.4,6.2,25,0,9,0,48,1,1,4,61,27,16,11,2,16,5,0.1,1.1,1.3,0,7,7,1,1.23,36
2018,BEAUMONT-WILSHIRE,"675,717","597,000",272,23,107,0,6,33,0,1943,"6,178","8,114",41,"103,577",85.1,53.7,9.8,3.9,1.6,30.7,35.3,29.9,"1,487",6.1,4.6,91.6,33.4,86.1,1.2,3.8,0.1,5.1,14,0,24,0,128,3,5,59,211,22,38,14,3,16,6.1,8.2,4.3,12.6,0,3,3,4,5.71,72
2018,BOISE,"551,215","510,750",260,31,44,16,2,34,0,1947,"4,143","9,684",34,"70,682",40.9,29.4,12.2,2,0.7,55.5,39.3,21.3,"1,213",16.5,4.8,91.4,18.3,76.1,1.7,9.1,0.6,11.4,38,0,34,0,153,5,4,30,217,47,64,5,2,12,12.9,16.7,6,22.7,1,5,6,2,4.9,92
2018,BRENTWOOD/ DARLINGTON,"336,129","319,000",245,24,283,1,12,72,2,1965,"13,151","7,504",37,"54,202",66.9,40,16.3,4,1.8,38.1,18.7,7.2,"1,188",16.4,9,73,32.1,85.1,3.5,2.2,0.2,5.8,145,4,75,1,235,9,15,138,448,174,47,48,4,21,10.5,2.6,0.8,3.4,0,4,4,6,3.54,54
