Year,Neighborhood,Average home sale price ($),Median home sale price ($),Average cost per square foot ($),Days on market (avg.),Homes sold in 2018 (#),Condo sales (%),1-year median price change (2017–2018) (%),5-year median price change (2014–2018) (%),Distressed property sales (%),Average year built for sold homes,Adjusted population,"Adjusted population density (people per square mile, excluding parks and industrial tracts)",Median age,Median household income ($),Home ownership (%),Married (except separated) (%),Divorced (%),Widowed (%),Separated (%),Never Married (%),Population with bachelor degree as highest level of education (25 and older) (%),Population with graduate degree (25 and older) (%),Renters - median monthly housing expenses ($),People below federal poverty level (%),Unemployed (16 years and older) (%),English as only language (%),Percent of households with children under 18 years (%),Population in same house last year (%),Population in different county last year (%),Population in different state last year (%),Population moved from abroad last year (%),Total Newcomers (%),Aggravated assault,Arson,Burglary,Homicide,Larceny,Sexual offenses,Robbery,Vehicle thefts,Nonviolent crimes,Violent crimes,"Crimes per 1,000 residents",Parks and natural areas (Acres),Parks (% of neighborhood),Minutes by car to downtown (est.),Commute by public transit (%),Commute by bike (%),Commute by walking (%),Commute by biking and walking (%),Number of Max/streetcar/tram lines,Number of TriMet bus lines,Number of transit lines (bus/MAX/streetcar/tram),"Miles of bike routes (lanes, boulevards, multiuse paths)",Miles of bike routes (all) per square mile,Walk score
2019,ALAMEDA,"785,713","738,000",268,31,81,0%,8%,26%,1%,1932,"5,641","9,544",41,"109,616",78.6,55.8,10.4,3.2,0.9,29.7,40,33.9,"1,897",6.6,3.7,92.8,36.3,84.3,1.3,5.4,0.9,7.6,18,0,12,0,77,0,2,22,111,20,23,0,0,13,8.8,3.9,11,14.9,0,3,3,1,1.2,65
2019,ARBOR LODGE,"465,743","459,450",252,28,132,13%,1%,33%,0%,1957,"7,245","8,654",36,"75,223",68.2,47.1,10.2,2.7,1.5,38.3,33.5,18.8,"1,456",9.8,5,86,29.8,83.4,1.3,3,0.4,4.7,50,2,48,0,182,5,12,53,283,69,49,10,2,15,14.2,3.6,11.9,15.6,1,4,5,6,7.2,72
2019,ARDENWALD-JOHNSON CREEK,"418,640","434,500",185,89,10,0%,-7%,34%,10%,1941,"2,015","10,273",41,"95,630",55.4,42.9,15.5,6.9,0.9,33.7,20.4,13,"1,699",10.6,2.2,89.8,29.6,83.5,9.2,3.8,0.6,13.6,10,0,5,0,27,0,1,15,47,11,29,37,17,16,9.3,0.4,7.3,7.7,1,5,6,3,7.8,54
2019,ARGAY,"391,146","399,750",168,26,79,5%,11%,52%,0%,1968,"6,035","6,942",40,"51,990",50.9,31.3,17.2,4.3,3.5,43.7,11.8,4.3,934,20.8,6.4,75.2,33.4,65.2,14.2,4.9,0.9,20,59,1,69,0,227,5,11,86,382,76,76,59,5,20,8.6,15.8,0.3,16.1,0,5,5,6,2.9,45
2019,ARLINGTON HEIGHTS,"1,012,913","862,500",306,49,20,0%,-6%,9%,0%,1958,"1,804","8,934",52,"113,665",78.6,61.1,12.1,6.1,0.3,20.4,39.6,44.9,"2,318",3.3,1.1,87,15.8,89.5,1,3.6,1.9,6.5,2,0,3,0,50,0,0,0,53,2,30,329,63,14,6,10.6,4.1,14.8,2,4,6,1,1.6,40
2019,ARNOLD CREEK,"674,573","680,000",234,44,47,0%,16%,55%,0%,1985,"2,963","2,877",43,"134,282",90.4,66,9,2.7,1.1,21.3,42.5,32.4,"2,119",4.7,3.4,91.7,37.6,86,5.1,1.8,0.3,7.2,1,0,3,0,9,2,1,0,12,4,5,19,3,18,4.3,0.6,2.1,2.7,0,1,1,0,0.2,17
2019,ASHCREEK,"482,189","455,000",238,29,105,7%,3%,32%,0%,1976,"4,763","4,129",39,"92,676",80,51.1,14.9,3.1,0.7,22.6,34,27.8,"1,609",3.6,3.6,87.7,31.9,79.1,2,3.6,0.4,6,13,1,6,0,30,3,2,9,45,19,13,11,2,16,4.5,0.6,0.1,0.6,0,7,7,2,1.5,36
2019,BEAUMONT-WILSHIRE,"695,345","651,000",279,34,105,5%,9%,27%,1%,1951,"6,124","8,388",41,"112,725",85.3,56.4,8.6,3.3,1.6,30.1,36.4,30.5,"1,774",5.1,3.8,89.1,35,86.6,1.2,2.4,0.1,3.6,17,0,18,0,97,2,1,26,141,20,26,14,3,16,5.4,4.1,8.7,12.8,0,3,3,4,5.7,72
2019,BOISE,"556,173","508,500",290,26,56,7%,0%,25%,0%,1952,"4,430","12,027",34,"75,505",40.1,31.1,12.2,1.6,1,54.3,39,23.2,"1,427",15.1,4.6,88.8,19.9,76,2.2,9.6,0.5,12.3,40,3,24,0,191,3,2,37,252,48,68,5,2,12,10.5,6.8,16.1,22.9,1,5,6,2,5,92
2019,BRENTWOOD/ DARLINGTON,"339,569","330,000",240,33,284,1%,4%,58%,4%,1953,"12,823","8,027",37,"59,388",67.4,39.2,17.3,3.8,2,37.6,20.6,8.8,"1,289",14.9,6.8,74.9,30.4,84.8,2.5,2,0.1,4.5,166,3,66,0,274,12,13,85,425,194,48,48,4,21,11.7,0.4,3.2,3.6,0,4,4,6,3.5,54
