Year,Neighborhood,Average home sale price ($),Median home sale price ($),Average cost per square foot ($),Days on market (avg.),Homes sold in 2019 (#),Condo sales (%),1-year median price change (2018–2019) (%),5-year median price change (2015–2019) (%),Distressed property sales (%),Average year built for sold homes,Adjusted population,"Adjusted population density (people per sq. mi., excluding parks and industrial tracts)",Median age,Median household income ($),Home ownership (%),Married (except separated) (%),Divorced (%),Widowed (%),Separated (%),Never Married (%),Population with bachelor degree as highest level of education (25 and older) (%),Population with graduate degree (25 and older) (%),Renters - median monthly housing expenses ($),People below federal poverty level (%),Unemployed (16 years and older) (%),English as only language (%),Percent of households with children under 18 years (%),Population in same house last year (%),Population in different Oregon county last year (%),Population in different state last year (%),Population moved from abroad last year (%),Total Newcomers (%),Assault,Homicide,Sexual offenses,Arson,Burglary,Larceny,Vehicle thefts,Robbery,Vandalism (not included in violent/nonviolent total),Drug/narcotic offenses (not included in violent/nonviolent total),Nonviolent crimes,Violent crimes,"Crimes per 1,000 residents",Parks and natural areas (Acres),Parks (% of neighborhood),Minutes by car to downtown (est.),Commute by public transit (%),Commute by bike (%),Commute by walking (%),"Commute by transit, biking, and walking (%)",Number of Max/streetcar/tram lines,Number of TriMet bus lines,Number of transit lines (bus/MAX/streetcar/tram),Walk score
2020,ALAMEDA,"783,757","744,250",271,27,84,0,1,8,0,1931,"5,730","9,600",41,"116,182",79.7,57,9.7,2.8,0.9,29.7,39.3,35.5,"1,932",5.8,4,91.8,35,84.6,1.4,5.4,1,15.4,14,0,0,0,17,45,28,0,14,0,90,14,18,0,0,13,10.6,10.1,3,23.7,0,3,3,65
2020,ARBOR LODGE,"486,074","475,000",236,40,119,3,3,21,0,1949,"7,404","8,531",36,"83,817",66.3,43.6,10.1,2.2,1.4,42.5,35.6,21,"1,432",9.1,3.1,84.8,29,83.4,1.2,3.4,0.4,16.6,54,0,1,1,38,246,87,6,49,3,371,62,58,10,2,15,14.1,12.3,4,30.4,1,4,5,77
2020,ARDENWALD-JOHNSON CREEK*,"467,790","462,000",220,41,15,0,6,42,0,1967,"6,189","6,080",40,"76,790",63.4,47.1,13.5,6,1.8,31.6,22.6,18,"1,179",9.5,3.6,92.9,26.6,84.7,6.8,3.3,0.5,15.3,5,0,1,0,1,19,9,0,4,1,29,6,6,37,17,16,8.6,6,0.9,15.6,1,5,6,55
2020,ARGAY,"364,272","370,000",184,38,59,14,-7,39,0,1967,"6,044","2,944",41,"52,456",56.7,27.8,17.3,5.4,4.7,44.9,11.1,5.7,892,21.5,5.5,78.3,26.4,66.7,17.3,3.5,0.3,33.3,89,0,6,0,52,211,107,9,70,2,370,104,78,59,5,20,8.5,0.8,1,10.3,0,5,5,45
2020,ARLINGTON HEIGHTS,"791,389","865,000",314,52,9,0,0,37,0,1963,"1,851","2,266",51,"120,100",80,59.7,12.8,5.6,0.2,21.7,38.1,44.7,"1,182",3.5,3.1,89.1,18.2,91.5,0.3,2.8,1.3,8.5,3,0,1,0,5,33,4,0,20,0,42,4,25,329,63,14,5.3,4.7,12.4,22.4,2,4,6,35
2020,ARNOLD CREEK,"659,184","610,000",238,46,75,0,-10,17,0,1959,"2,917","2,658",42,"138,409",91.1,65.5,8.3,2.9,1.1,22.1,39.3,35,"1,787",4.6,2.6,92.7,36.5,84.7,5,1.9,0.5,15.3,4,0,0,0,5,12,1,0,4,0,18,4,8,19,3,18,4.7,1.9,0.5,7,0,1,1,21
2020,ASHCREEK,"494,168","471,000",243,33,98,2,4,25,0,1973,"5,509","4,524",42,"106,430",81.8,54.7,17.3,4.1,0.4,23.5,35.7,31.5,"1,793",3.7,4.3,94.2,32.2,84.3,2.7,4.3,0.5,15.7,16,0,2,0,14,39,7,1,14,3,60,19,14,11,2,16,4.1,0.1,0.6,4.9,0,7,7,36
2020,BEAUMONT-WILSHIRE,"672,232","639,900",271,28,125,2,-2,16,0,1941,"6,158","8,085",41,"122,335",87.1,55.7,8.4,2.7,1.6,31.6,34.9,31.7,"1,645",4.1,3.3,89.2,35.7,88.1,1.3,2,0.1,11.9,18,0,3,0,18,79,22,3,16,0,119,24,23,14,3,16,4.2,9.4,5.1,18.6,0,3,3,77
2020,BOISE,"548,957","531,500",279,39,44,23,5,18,0,1947,"4,443","10,384",33,"79,936",32.1,29.8,11.2,1.7,1,56.3,40,24.6,"1,367",14.8,3.6,87.3,17.3,71,2.3,11,1.6,29,51,2,1,4,60,245,58,10,60,2,363,68,97,5,2,12,12.1,13.9,8.9,34.8,1,5,6,92
2020,BRENTWOOD-DARLINGTON,"352,498","335,000",244,40,239,2,2,40,3,1962,"13,201","7,532",38,"58,042",66.8,42.3,15.6,3.8,2.1,36.1,20.4,9,"1,358",12.2,6.8,74,29.9,87.2,1.4,2.3,0.1,12.8,182,1,11,1,55,202,68,7,97,16,325,202,40,48,4,21,10,2.8,1.3,14.1,0,4,4,64
