Year,Neighborhood (*Boundaries for starred neighborhoods extend beyond city limits; only data within city limits calculated.),Median 2020 home sale price ($),Average Sale Price ($),Average cost per square foot ($),Days on market (avg.),Homes sold in 2020 (#),Total Condo Sales,Share of 2020 sales that were condos (%),1-year median price change 2019–20 (%),5-year median price change 2015–20 (%),Average year built of homes sold,Number of Short Sales,Number of Bank Owned,% Distressed Sales,Average square footage of homes sold,Renters’ median monthly housing ($),Population,Population density people per sq mile),Median age,Median household income ($),Homeownership (%),People below federal poverty level (%),Unemployed (16 years and older) (%),Households with children under 18 (%),Married (except separated) (%),Divorced (%),Widowed (%),Separated (%),Never Married (%),Population with bachelor degree as highest level of education (25 and older) (%),Population with graduate degree (25 and older) (%),English as only language (%),People who speak other language(s) (%),Population in same house last year (%),Population in different Oregon county last year (%),Population in different state last year (%),Population moved from abroad last year (%),Total newcomers (%),Assault,Homicide,Sex offenses,Arson,Robbery,Burglary,Larceny,Vehicle thefts,Vandalism,Drug/narcotic offenses,"Violent crimes per 1,000 residents","Burglary/larceny/vehicle theft crimes per 1,000 residents",Parks and natural areas (Acres),Minutes by car to downtown (est.),Number of transit lines (bus/MAX/streetcar/tram),Walk Score,Commute by public transit (%),Commute by walking (%),Commute by other non-car means (including cycling) (%)
2021,ALAMEDA,"765,000","816,804",284,19,85,0,0,3,12,1932,0,0,0,"2,878","1,945","5,777",9679,42,"124,589",82,4,4,36,57.1,3,10.4,0.7,28.9,37.9,37.8,92,8,87.9,1.5,3.4,0.4,5.3,9,0,0,0,0,19,71,26,16,1,2,20,0,13,3,65,9.9,3.5,8.8
2021,ARBOR LODGE,"498,000","491,539",269,23,167,26,16,5,27,1960,0,0,0,"1,830","1,438","7,289",8400,37,"86,530",65,8,4,25,42.9,2.4,9.5,1.2,44.1,36.7,21.1,85,15,84.7,0.4,3.1,0.7,4.2,62,0,3,11,3,58,225,65,67,4,11,48,10,15,5,77,14.4,3.7,13.1
2021,ARDENWALD-JOHNSON CREEK*,"489,930","495,605",236,23,12,0,0,6,66,1971,0,0,0,"2,097","1,798","1,765",6228,41,"126,620",84,5,5,40,61.9,3.9,10.8,1.8,21.6,33.6,34.1,88.5,11.5,86.6,1.9,4.5,0.2,6.6,8,0,0,0,0,15,13,3,7,0,5,18,37,16,6,55,5.3,1.7,7
2021,ARGAY,"425,000","421,964",208,32,69,5,7,15,60,1968,0,0,0,"2,026",934,"5,763",2807,41,"54,267",50,24,6,25,27.7,5.7,17.1,3.4,46.2,11.9,6.1,82.7,17.3,66.3,16.7,4.9,0.3,21.9,78,1,3,0,6,52,230,114,84,2,15,69,59,20,5,45,8.8,14.2,1.6
2021,ARLINGTON HEIGHTS,"880,000","895,306",344,34,17,0,0,2,40,1954,0,1,5.88,"2,603","1,200","1,932",2365,52,"161,392",82,3,2,20,63.3,4.6,8.4,0.2,23.6,34.8,46.8,87,13,92.5,0.4,2.6,1.5,4.5,7,0,0,0,1,3,30,2,5,1,4,18,329,14,6,35,7,13.1,7.4
2021,ARNOLD CREEK,"660,000","668,960",238,32,71,0,0,8,26,1984,1,0,1.41,"2,810","1,505","2,808",2567,43,"142,929",91,5,1,37,68.6,2.3,9.5,0.4,19.1,42.3,36.5,92.6,7.4,88.3,1.9,1.8,0.6,4.3,2,1,0,0,0,1,26,2,4,1,1,10,19,18,1,21,4,0.1,2.3
2021,ASHCREEK,"497,550","513,975",263,20,127,2,2,6,32,1974,0,0,0,"1,954","1,763","4,911",4474,43,"107,840",86,3,4,29,53.9,4.5,20.3,0.3,21.1,35.2,31.4,92.5,7.5,84.5,2.6,4.1,0.5,7.3,17,0,1,0,1,9,37,5,14,0,4,10,11,16,7,36,4.8,0.6,0.1
2021,BEAUMONT-WILSHIRE,"684,000","745,557",290,22,94,0,0,7,24,1940,0,0,0,"2,574","1,483","6,219",8166,41,"124,950",89,3,2,36,57.5,2.2,8.7,1.4,30.3,37.2,31.5,88.7,11.3,89.5,1.2,1.9,0.1,3.2,12,0,3,0,1,33,106,24,30,0,3,26,14,16,3,77,3.6,4.4,10.3
2021,BOISE,"525,000","528,320",285,42,91,31,34,-1,17,1976,1,0,1.1,"1,852","1,557","4,726",11045,34,"84,168",33,14,3,14,31.7,1.3,12,0.8,54.1,41.9,25.4,88.2,11.8,71.7,2.7,10.2,1.7,14.6,35,0,1,0,8,100,217,38,71,0,9,75,5,12,6,92,12.7,10,14.5
2021,BRENTWOOD-DARLINGTON,"365,000","381,783",271,36,276,10,4,9,52,1966,2,1,1.09,"1,408","1,460","13,127",7525,38,"63,721",68,11,5,28,41.9,3.9,15.5,2,36.8,21.6,10.6,71.7,28.3,86.3,1.7,3.4,0.3,5.5,156,0,6,4,4,44,174,53,110,18,13,21,48,21,4,64,10,1.3,4.2
